last_review,price,number_of_reviews
2011-03-31,55.0,1
2011-04-30,250.0,14
2011-05-31,249.0,2
2011-06-30,,0
2011-07-31,,0
2011-08-31,,0
2011-09-30,115.0,10
2011-10-31,,0
2011-11-30,,0
2011-12-31,199.5,34
2012-01-31,162.5,2
2012-02-29,,0
2012-03-31,,0
2012-04-30,,0
2012-05-31,65.0,2
2012-06-30,137.5,8
2012-07-31,107.5,2
2012-08-31,186.66666666666666,33
2012-09-30,240.71428571428572,43
2012-10-31,200.0,1
2012-11-30,71.66666666666667,72
2012-12-31,103.25,15
2013-01-31,173.4,8
2013-02-28,,0
2013-03-31,211.5,13
2013-04-30,201.25,11
2013-05-31,157.0,42
2013-06-30,147.25,39
2013-07-31,148.33333333333334,11
2013-08-31,87.5,2
2013-09-30,681.6666666666666,26
2013-10-31,247.5,32
2013-11-30,89.8,21
2013-12-31,119.5,37
2014-01-31,153.63636363636363,41
2014-02-28,47.5,25
2014-03-31,45.0,2
2014-04-30,117.8125,128
2014-05-31,180.76923076923077,78
2014-06-30,199.75,91
2014-07-31,156.44444444444446,60
2014-08-31,165.97368421052633,98
2014-09-30,186.13333333333333,82
2014-10-31,164.34375,186
2014-11-30,130.53333333333333,50
2014-12-31,138.86666666666667,91
2015-01-31,320.3448275862069,193
2015-02-28,519.5625,82
2015-03-31,138.2608695652174,67
2015-04-30,146.62962962962962,59
2015-05-31,138.1917808219178,406
2015-06-30,143.9111111111111,307
2015-07-31,121.79439252336448,259
2015-08-31,136.90049751243782,707
2015-09-30,136.90232558139536,830
2015-10-31,171.67410714285714,1228
2015-11-30,134.44520547945206,728
2015-12-31,158.906103286385,896
2016-01-31,191.07471264367817,1518
2016-02-29,246.54054054054055,369
2016-03-31,115.5,487
2016-04-30,121.15503875968992,631
2016-05-31,136.5084745762712,1311
2016-06-30,121.32793522267207,1284
2016-07-31,126.64666666666666,1717
2016-08-31,133.95977011494253,1725
2016-09-30,166.93040293040292,2034
2016-10-31,156.9206349206349,1957
2016-11-30,147.24157303370785,1561
2016-12-31,194.72395833333334,1588
2017-01-31,147.9943661971831,2837
2017-02-28,136.72727272727272,552
2017-03-31,129.63366336633663,942
2017-04-30,158.2085889570552,1423
2017-05-31,126.07326007326007,2643
2017-06-30,125.89473684210526,1971
2017-07-31,155.51929824561404,2792
2017-08-31,112.20413436692506,3053
2017-09-30,133.49725274725276,2896
2017-10-31,123.56603773584905,2788
2017-11-30,134.58964143426294,2107
2017-12-31,148.81218274111674,4518
2018-01-31,134.7518115942029,5692
2018-02-28,111.1830985915493,1229
2018-03-31,156.31578947368422,2213
2018-04-30,119.43769968051119,3494
2018-05-31,130.0648379052369,3901
2018-06-30,131.86387434554973,4963
2018-07-31,127.77865612648222,5409
2018-08-31,139.04941860465115,7214
2018-09-30,145.26141732283463,8322
2018-10-31,134.30112044817926,8964
2018-11-30,139.60535714285714,7709
2018-12-31,160.01162790697674,13245
2019-01-31,140.55625,20750
2019-02-28,145.6127659574468,7215
2019-03-31,136.2439024390244,11307
2019-04-30,143.21153846153845,24828
2019-05-31,139.60189445196212,86465
2019-06-30,141.66965703397904,619567
2019-07-31,144.4878306878307,243262
